City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Lorengau,PG,82.69,Clouds,-2.02,147.27,Lorengau Harbourside Hotel
6,Aswan,EG,84.52,Clear,24.09,32.91,Nuba Nile
15,Hithadhoo,MV,83.35,Clouds,-0.6,73.08,Scoop Guest House
22,Georgetown,MY,80.6,Clouds,5.41,100.34,Cititel Penang
25,Kavieng,PG,83.03,Clouds,-2.57,150.8,Nusa Island Retreat
28,Kapaa,US,86.0,Clear,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
30,Butaritari,KI,82.11,Clouds,3.07,172.79,Isles Sunset Lodge
38,Hambantota,LK,77.99,Clouds,6.12,81.12,Bungalow 63
39,San Cristobal,VE,89.6,Clouds,7.77,-72.22,Pirineos
46,Salalah,OM,75.2,Clear,17.02,54.09,HAMDAN PLAZA HOTEL
49,Dingle,PH,76.28,Clouds,11.0,122.67,Camp Pasica
52,Awbari,LY,79.88,Clouds,26.59,12.78,فندق أوباري
57,Nautla,MX,82.76,Clear,20.22,-96.78,Casa Blanca
63,Jalu,LY,79.92,Clouds,29.03,21.55,Jalu Hotel
64,Puerto Ayora,EC,80.6,Clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
69,Lazaro Cardenas,MX,85.17,Rain,17.96,-102.2,Collection O Hotel Quinta Antigua
71,Puerto Penasco,MX,84.0,Clouds,31.32,-113.53,Playa Bonita Resort
77,Winnemucca,US,75.2,Clear,40.97,-117.74,Winners Inn Casino
81,Avarua,CK,78.8,Clouds,-21.21,-159.78,Paradise Inn
82,Hopelchen,MX,86.0,Clouds,19.77,-89.85,Hotel Jaguar
83,Saint Augustine,US,80.6,Clouds,29.89,-81.31,St. George Inn
85,Teluk Nibung,ID,76.42,Clouds,3.0,99.82,PONDOK FELISHA JUICE
88,Atuona,PF,77.9,Clear,-9.8,-139.03,Villa Enata
93,Wattegama,LK,75.43,Clouds,6.8,81.48,
97,Kavaratti,IN,80.71,Clouds,10.57,72.64,Hotels in Lakshadweep Islands
98,Ranong,TH,78.04,Rain,9.97,98.63,Tinidee Hotel@Ranong
102,Banda Aceh,ID,81.03,Clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
103,Cayenne,GF,86.0,Clouds,4.93,-52.33,Hôtel Le Dronmi
105,Alta Floresta,BR,83.17,Rain,-9.88,-56.09,Floresta Amazonica Hotel
110,Santiago,CL,79.0,Clear,-33.46,-70.65,Hotel Panamericano
120,Port Moresby,PG,77.0,Clouds,-9.44,147.18,Lamana Hotel
121,Cabo San Lucas,MX,89.01,Clouds,22.89,-109.91,Hotel Tesoro Los Cabos
123,Maldonado,UY,82.4,Clouds,-34.67,-54.92,La Cimarrona
124,Viedma,AR,78.01,Clear,-40.81,-63.0,Hotel Cristal
127,Dabakala,CI,77.76,Rain,8.37,-4.43,Hôtel Campement
130,Sinnamary,GF,82.87,Clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
132,Harper,LR,77.32,Rain,4.38,-7.72,Screensaver
135,Bathsheba,BB,84.2,Clouds,13.22,-59.52,Atlantis Hotel
137,Faanui,PF,79.45,Clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
141,Isangel,VU,78.8,Clouds,-19.55,169.27,Volcano Sea View Tree House
144,Cayhagan,PH,79.32,Clouds,9.67,122.43,Melrose Beach Resort
