City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
0,Hobart,-42.88,147.33,52.0,66,75,4.12,AU,2020-10-18 21:14:24,Clouds
1,Marsa Matruh,31.35,27.25,71.6,78,0,8.46,EG,2020-10-18 21:26:28,Clear
2,Albany,42.6,-73.97,61.0,43,96,7.85,US,2020-10-18 21:17:44,Clouds
3,Lorengau,-2.02,147.27,82.69,78,87,7.65,PG,2020-10-18 21:26:28,Clouds
4,Jamestown,42.1,-79.24,57.0,66,90,9.17,US,2020-10-18 21:16:38,Clouds
5,Broome,42.25,-75.83,57.99,37,1,12.75,US,2020-10-18 21:23:32,Clear
6,Aswan,24.09,32.91,84.52,21,0,10.16,EG,2020-10-18 21:26:28,Clear
7,Mumbwa,-14.98,27.06,70.05,24,0,5.93,ZM,2020-10-18 21:26:29,Clear
8,Ushuaia,-54.8,-68.3,41.0,80,75,29.97,AR,2020-10-18 21:17:41,Rain
9,Rikitea,-23.12,-134.97,74.86,81,100,18.5,PF,2020-10-18 21:17:41,Rain
10,Bredasdorp,-34.53,20.04,59.0,82,100,1.12,ZA,2020-10-18 21:26:29,Clouds
11,Sistranda,63.73,8.83,41.0,80,75,13.87,NO,2020-10-18 21:24:59,Clouds
12,Teya,60.38,92.63,27.77,92,100,15.32,RU,2020-10-18 21:26:29,Clouds
13,Mahebourg,-20.41,57.7,73.4,73,20,10.29,MU,2020-10-18 21:23:20,Clouds
14,Nikolskoye,59.7,30.79,37.4,86,90,6.71,RU,2020-10-18 21:26:29,Rain
15,Hithadhoo,-0.6,73.08,83.35,76,100,14.9,MV,2020-10-18 21:23:23,Clouds
16,Saint-Philippe,-21.36,55.77,73.4,64,20,3.36,RE,2020-10-18 21:26:30,Clouds
17,Shelburne,44.08,-80.2,53.6,66,75,13.87,CA,2020-10-18 21:24:33,Clouds
18,Punta Arenas,-53.15,-70.92,44.01,70,40,31.09,CL,2020-10-18 21:14:09,Rain
