City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Gweru,-19.45,29.82,66.72,45,0,11.63,ZW,2020-10-16 19:38:40
1,Micheweni,-4.97,39.83,77.92,81,30,11.54,TZ,2020-10-16 19:38:40
2,Kahului,20.89,-156.47,84.2,58,20,5.82,US,2020-10-16 19:36:04
3,Rikitea,-23.12,-134.97,73.74,81,100,21.81,PF,2020-10-16 19:35:07
4,Narodychi,51.2,29.08,49.89,78,99,4.34,UA,2020-10-16 19:38:40
5,Xuddur,4.12,43.89,74.52,79,12,18.7,SO,2020-10-16 19:38:40
6,Baykit,61.67,96.37,27.41,94,100,6.4,RU,2020-10-16 19:38:41
7,Manicore,-5.81,-61.3,92.79,42,67,1.74,BR,2020-10-16 19:38:41
8,Asau,46.43,26.4,54.0,98,100,1.99,RO,2020-10-16 19:38:41
9,Hervey Bay,-25.3,152.85,61.0,93,66,8.05,AU,2020-10-16 19:34:05
10,Ponta Do Sol,32.67,-17.1,68.0,68,40,5.82,PT,2020-10-16 19:38:41
11,Yellowknife,62.46,-114.35,26.6,73,90,18.34,CA,2020-10-16 19:36:48
12,East London,-33.02,27.91,64.4,88,75,17.22,ZA,2020-10-16 19:38:41
13,Port Hedland,-20.32,118.57,69.8,64,0,10.29,AU,2020-10-16 19:38:42
14,Sokoni,-6.43,39.55,78.8,83,40,11.41,TZ,2020-10-16 19:38:42
15,Bluff,-46.6,168.33,44.01,87,55,3.0,NZ,2020-10-16 19:38:42
16,Turukhansk,65.82,87.98,28.17,99,100,10.02,RU,2020-10-16 19:38:42
17,Port Alfred,-33.59,26.89,67.12,77,32,25.68,ZA,2020-10-16 19:38:42
18,Grootfontein,-19.57,18.12,71.11,20,87,9.42,NA,2020-10-16 19:38:42
19,Vaini,-21.2,-175.2,75.2,94,90,10.29,TO,2020-10-16 19:38:42
20,Upernavik,72.79,-56.15,36.19,77,100,9.73,GL,2020-10-16 19:38:42
21,Caravelas,-17.71,-39.25,73.56,90,100,11.03,BR,2020-10-16 19:38:43
22,Mackay,-21.15,149.2,60.8,87,40,6.93,AU,2020-10-16 19:38:43
23,Ushuaia,-54.8,-68.3,46.4,52,75,19.46,AR,2020-10-16 19:38:43
24,Avera,33.19,-82.53,78.8,54,40,10.29,US,2020-10-16 19:38:43
25,Mahebourg,-20.41,57.7,69.8,88,20,4.7,MU,2020-10-16 19:38:43
26,Butaritari,3.07,172.79,81.37,76,0,14.27,KI,2020-10-16 19:38:43
27,Albany,42.6,-73.97,50.0,77,100,4.45,US,2020-10-16 19:36:19
28,Tautira,-17.73,-149.15,77.0,88,90,11.41,PF,2020-10-16 19:38:44
29,Kiama,-34.68,150.87,60.01,85,100,7.0,AU,2020-10-16 19:38:44
30,Poum,-20.23,164.02,72.61,78,2,10.02,NC,2020-10-16 19:38:44
31,Hilo,19.73,-155.09,80.6,69,40,5.82,US,2020-10-16 19:36:28
32,Puerto Ayora,-0.74,-90.35,78.8,65,20,16.11,EC,2020-10-16 19:38:44
33,Pontian Kecil,1.48,103.39,80.01,83,20,5.3,MY,2020-10-16 19:38:44
34,Cape Town,-33.93,18.42,64.0,67,0,4.7,ZA,2020-10-16 19:34:54
35,Kapaa,22.08,-159.32,81.0,88,40,6.93,US,2020-10-16 19:37:48
36,Alta Floresta,-9.88,-56.09,95.22,30,50,3.69,BR,2020-10-16 19:38:45
37,Kenai,60.55,-151.26,36.0,75,1,5.82,US,2020-10-16 19:38:45
38,Katsuura,35.13,140.3,60.8,72,75,11.41,JP,2020-10-16 19:38:45
39,Nikolskoye,59.7,30.79,41.0,65,90,6.71,RU,2020-10-16 19:38:45
40,Arraial Do Cabo,-22.97,-42.03,71.6,73,90,10.29,BR,2020-10-16 19:38:45
41,Mount Gambier,-37.83,140.77,53.6,87,90,9.17,AU,2020-10-16 19:38:45
42,Srednekolymsk,67.45,153.68,26.51,98,82,11.36,RU,2020-10-16 19:38:45
43,Nome,64.5,-165.41,39.2,86,90,32.21,US,2020-10-16 19:38:46
44,Punta Arenas,-53.15,-70.92,41.0,86,90,10.29,CL,2020-10-16 19:38:46
45,Arman,59.7,150.17,29.17,86,18,5.32,RU,2020-10-16 19:38:46
46,Sao Luiz Gonzaga,-28.41,-54.96,83.46,47,68,11.59,BR,2020-10-16 19:39:51
47,Conway,35.09,-92.44,66.2,20,1,3.36,US,2020-10-16 19:36:10
48,Hermanus,-34.42,19.23,59.0,88,0,6.13,ZA,2020-10-16 19:39:51
49,Georgetown,5.41,100.34,78.8,94,20,2.24,MY,2020-10-16 19:39:52
50,Tevaitoa,-16.78,-151.5,79.41,78,98,11.41,PF,2020-10-16 19:39:52
51,Pisco,-13.7,-76.22,75.2,53,6,8.05,PE,2020-10-16 19:39:52
52,Alofi,-19.06,-169.92,77.04,83,100,19.6,NU,2020-10-16 19:35:55
53,Tiksi,71.69,128.87,22.95,98,100,7.47,RU,2020-10-16 19:39:52
54,Nokha,27.6,73.42,79.56,16,0,8.75,IN,2020-10-16 19:39:52
55,Kijang,35.24,129.21,55.4,71,0,3.36,KR,2020-10-16 19:39:52
56,Dogondoutchi,13.64,4.03,95.77,24,39,3.98,NE,2020-10-16 19:39:53
57,Vila Velha,-20.33,-40.29,69.8,88,75,11.41,BR,2020-10-16 19:37:09
58,Atuona,-9.8,-139.03,78.78,74,0,20.47,PF,2020-10-16 19:39:53
59,Beringovskiy,63.05,179.32,39.27,86,32,10.65,RU,2020-10-16 19:37:30
60,Barrow,71.29,-156.79,15.8,72,1,24.16,US,2020-10-16 19:39:53
61,Bathsheba,13.22,-59.52,87.8,66,40,13.87,BB,2020-10-16 19:39:53
62,Pevek,69.7,170.31,35.73,86,14,12.57,RU,2020-10-16 19:39:53
63,Thabazimbi,-24.59,27.41,80.01,44,0,1.99,ZA,2020-10-16 19:39:53
64,Chokurdakh,70.63,147.92,33.04,99,100,7.63,RU,2020-10-16 19:39:54
65,Lufilufi,-13.87,-171.6,78.8,100,90,4.7,WS,2020-10-16 19:39:54
66,Yashkul,46.17,45.34,61.79,68,55,5.03,RU,2020-10-16 19:39:54
67,Provideniya,64.38,-173.3,39.99,95,98,11.7,RU,2020-10-16 19:39:54
68,Qaanaaq,77.48,-69.36,28.51,85,100,7.07,GL,2020-10-16 19:39:54
69,Thompson,55.74,-97.86,30.2,80,75,13.87,CA,2020-10-16 19:39:54
70,Deputatskiy,69.3,139.9,13.35,97,100,8.68,RU,2020-10-16 19:36:58
71,Souillac,-20.52,57.52,69.8,88,20,4.7,MU,2020-10-16 19:39:55
72,Johnson City,36.31,-82.35,60.01,54,75,4.7,US,2020-10-16 19:39:44
73,Geraldton,-28.77,114.6,59.0,77,90,10.29,AU,2020-10-16 19:39:55
74,Harer,9.31,42.13,57.97,65,2,0.43,ET,2020-10-16 19:39:55
75,Carnarvon,-24.87,113.63,68.0,88,0,19.46,AU,2020-10-16 19:39:55
76,Victoria,22.29,114.16,77.0,74,40,1.01,HK,2020-10-16 19:35:16
77,Yarmouth,41.71,-70.23,70.0,77,90,10.29,US,2020-10-16 19:36:51
78,Kodiak,57.79,-152.41,39.2,69,1,6.93,US,2020-10-16 19:39:55
79,Wanaka,-44.7,169.15,44.01,74,100,4.94,NZ,2020-10-16 19:39:56
80,Busselton,-33.65,115.33,51.01,69,0,10.0,AU,2020-10-16 19:39:56
81,Kuala Pilah,2.74,102.25,78.01,94,20,1.12,MY,2020-10-16 19:39:56
82,Bredasdorp,-34.53,20.04,59.0,87,0,1.83,ZA,2020-10-16 19:39:56
83,Marystown,47.17,-55.15,57.0,100,68,1.99,CA,2020-10-16 19:36:10
84,Yulara,-25.24,130.99,77.0,31,0,10.29,AU,2020-10-16 19:39:56
85,Palana,59.12,159.97,31.68,96,93,16.26,RU,2020-10-16 19:39:56
86,Klaksvik,62.23,-6.59,42.8,93,100,6.93,FO,2020-10-16 19:39:57
87,Kavieng,-2.57,150.8,81.64,74,97,11.99,PG,2020-10-16 19:39:57
88,Jalu,29.03,21.55,83.1,20,9,10.22,LY,2020-10-16 19:39:57
89,Bengkulu,-3.8,102.27,75.33,89,55,3.4,ID,2020-10-16 19:39:57
90,Douglas,41.3,-96.17,57.0,30,1,8.05,US,2020-10-16 19:36:27
91,Cherskiy,68.75,161.3,25.54,96,86,4.16,RU,2020-10-16 19:39:57
92,Nouadhibou,20.93,-17.03,80.6,51,4,16.11,MR,2020-10-16 19:39:58
93,Maracas,-13.44,-40.43,82.67,35,4,9.15,BR,2020-10-16 19:41:03
94,Port Lincoln,-34.73,135.87,53.58,74,100,13.33,AU,2020-10-16 19:41:03
95,Okhotsk,59.38,143.3,25.0,85,2,10.16,RU,2020-10-16 19:41:03
96,Cortez,37.35,-108.59,66.0,17,1,10.29,US,2020-10-16 19:41:03
97,Sitka,57.05,-135.33,50.0,66,75,4.7,US,2020-10-16 19:37:48
98,Zhanaozen,43.3,52.8,54.95,36,0,10.2,KZ,2020-10-16 19:37:34
